Title;ImageUrl;Link;Description;Price;StartDate;EndDate;Duration;MinParticipants;MaxParticipants;Category;Tags
Programming Basics with C# - януари 2020;;https://softuni.bg/trainings/2664/programming-basics-with-c-sharp-january-2020;"Курсът ""Programming Basics"" дава начални умения по програмиране, необходими за всички технологични специалности в Софтуерния университет. Това включва писане на програмен код на начално ниво (basic coding skills), работа със среда за разработка (IDE), използване на променливи и данни, оператори и изрази, работа с конзолата (четене на входни данни и печатане на резултати), използване на условни конструкции (if, if-else) и цикли (for, while, do-while).Курсът ""Основи на програмирането"" завършва с практически изпит по програмиране, който еприемен в програмата по софтуерно инженерство на Софтуерния университет. Подробна информация за Учебния план може да намеритетук. https://softuni.bg/curriculum";Безплатно;04 януари 2020;;8 седмици;;;;
Programming Basics with Java - януари 2020;;https://softuni.bg/trainings/2665/programming-basics-with-java-january-2020;"Курсът ""Programming Basics"" дава начални умения по програмиране, необходими за всички технологични специалности в Софтуерния университет. Това включва писане на програмен код на начално ниво (basic coding skills), работа със среда за разработка (IDE), използване на променливи и данни, оператори и изрази, работа с конзолата (четене на входни данни и печатане на резултати), използване на условни конструкции (if, if-else) и цикли (for, while, do-while).Курсът ""Основи на програмирането"" завършва с практически изпит по програмиране, който еприемен в програмата по софтуерно инженерство на Софтуерния университет. Подробна информация за Учебния план може да намеритетук. https://softuni.bg/curriculum";Безплатно;04 януари 2020;;8 седмици;;;;
Programming Basics with Python - януари 2020;;https://softuni.bg/trainings/2666/programming-basics-with-python-january-2020;"Курсът ""Programming Basics"" дава начални умения по програмиране, необходими за всички технологични специалности в Софтуерния университет. Това включва писане на програмен код на начално ниво (basic coding skills), работа със среда за разработка (IDE), използване на променливи и данни, оператори и изрази, работа с конзолата (четене на входни данни и печатане на резултати), използване на условни конструкции (if, if-else) и цикли (for, while, do-while).Курсът ""Основи на програмирането"" завършва с практически изпит по програмиране, който еприемен в програмата по софтуерно инженерство на Софтуерния университет. Подробна информация за Учебния план може да намеритетук. https://softuni.bg/curriculum";Безплатно;04 януари 2020;;8 седмици;;;;
Programming Basics with C++ - януари 2020;;https://softuni.bg/trainings/2661/programming-basics-with-cpp-january-2020;"Курсът ""Programming Basics"" дава начални умения по програмиране, необходими за всички технологични специалности в Софтуерния университет. Това включва писане на програмен код на начално ниво (basic coding skills), работа със среда за разработка (IDE), използване на променливи и данни, оператори и изрази, работа с конзолата (четене на входни данни и печатане на резултати), използване на условни конструкции (if, if-else) и цикли (for, while, do-while).Курсът ""Основи на програмирането"" завършва с практически изпит по програмиране, който еприемен в програмата по софтуерно инженерство на Софтуерния университет. Подробна информация за Учебния план може да намеритетук. https://softuni.bg/curriculum";Безплатно;04 януари 2020;;9 седмици;;;;
Programming Basics with JavaScript - януари 2020;;https://softuni.bg/trainings/2667/programming-basics-with-javascript-january-2020;"Курсът ""Programming Basics"" дава начални умения по програмиране, необходими за всички технологични специалности в Софтуерния университет. Това включва писане на програмен код на начално ниво (basic coding skills), работа със среда за разработка (IDE), използване на променливи и данни, оператори и изрази, работа с конзолата (четене на входни данни и печатане на резултати), използване на условни конструкции (if, if-else) и цикли (for, while, do-while).Курсът ""Основи на програмирането"" завършва с практически изпит по програмиране, който еприемен в програмата по софтуерно инженерство на Софтуерния университет. Подробна информация за Учебния план може да намеритетук. https://softuni.bg/curriculum";Безплатно;04 януари 2020;;8 седмици;;;;
Computer Networking Advanced - януари 2020;;https://softuni.bg/trainings/2568/computer-networking-advanced-january-2020;"Курсът &ldquo;Computer Networking Advanced&rdquo; има за цел не само да затвърди и надгради познанията ви по компютърни мрежи с много по-задълбочен поглед върху протоколите и технологиите, но и да ви въведе в съвременните концепции за мрежова виртуализация и софтуерно дефинирани мрежи (SDN).С първите няколко теми ще задълбочим и разширим познанията си по switching, routing, резервираност на мрежовите услуги, автентикация и много други, а после постепенно ще преминем към най-новите и горещи теми за виртуализация &ndash; както на мрежови устройства, така и на мрежови услуги.Всичко това ще бъде подкрепено и с много примери и практически упражнения, благодарение на които ще направите реалната съпоставка между традиционния и съвременния подход при изграждането и управлението на компютърни мрежи. ";240 лв.;06 януари 2020;;10 седмици;;;;
Agile Software Development - януари 2020;;https://softuni.bg/trainings/2551/agile-software-development-january-2020;"Целта на този курс е да запознае аудиторията с основните ценности и принципи на Agile и практическото им приложение в разработката на софтуер. Ще се разгледа Agile във всички етапи от разработката на един софтуерен продукт, от разписването на изискванията, през оценката на работата и планирането, до следенето на състоянието на проекта и ключови параметри на Agile организацията. Ще се обърне внимание и на бизнес страната на разработката на нов продукт, като оценка на добавената стойност и приоритизиране на работата. Не на последно място, ще се разгледат начините да се прилага Agile към проекти с голям мащаб. ";190 лв.;10 януари 2020;;10 седмици;;;;
MySQL - януари 2020;;https://softuni.bg/trainings/2752/mysql-january-2020;"Базите данни са стандартният начин за използване на динамична информация в съвременните приложения, правейки ги неизменна част от почти всяко едно приложение. Курсът по основи на базите данни ще ви запознаe с една от най-широко използваните системи за управление на бази данни (DBMS), при разработката на съвременни приложения - MySQL. Този курс полага основите на работата с бази данни, правейки по-лесно използването им в реални приложения.Оценяването в курса е на базата на предадени домашни и практически изпит. ";290 лв.;13 януари 2020;;4 седмици;;;;
Angular - януари 2020;;https://softuni.bg/trainings/2760/angular-january-2020;"Курсът ""Angular"" дава знания и практически умения заизграждане на клиентски приложения(Single Page Applications) с технологиятаAngular, работна рамка произведение наGoogleи една от най-популярните в момента. Ще научим какво еTypeScript, основен синтакс и концепции и какво повече той ни предлага пред JavaScript, като удобства за разработка в браузъра и на мобилните платформи. Изучават сеархитектурни шаблони за SPA приложения,компоненти,директивииреализацията им в Angular. Изучават сеизгледиишаблонизавизуализация на данни(templates),модели,компоненти,свързване на данни(data binding),работа с много изгледи,обзървабали(observables),рутиране(routing),извличане на данни от REST услугаиdependency injection(DI). ";290 лв.;14 януари 2020;;6 седмици;;;;
Fundamentals of Programming (with C#) - януари 2020;;https://softuni.bg/trainings/2552/fundamentals-of-programming-with-csharp-january-2020;"Курсът ""Fundamentals of Programming"" е ускорено въведение в програмирането, подходящо за начинаещи и участници с опит в писането на код.В предвидените уроци по основи и принципи на програмиране(в рамките на курса) ще бъдат обхванати както основите на програмирането (писане на команди, работа със среда за разработка, работа с данни, променливи, изрази, използване на условни конструкции и цикли), така и теми за по-напреднали (работа с базови структури от данни, масиви, списъци и асоциативни масиви, дефиниране и използване на методи, дефиниране и използване на класове с данни, конструктори и методи в тях, работа с API класове). Ще се използваезика за програмиране C# и средата за разработка Visual Studio.За всяка тема от изучавания материал е предвидено решаване на поредица от практически задачи с нарастваща трудност, с автоматизирана проверка.Курсът завършва с практически изпит, който обхваща изучавания учебен материал: няколко практически задачи за условия и цикли, масиви и списъци, асоциативни масиви и класове, с автоматизирана проверка.Обучението обхваща сериозни теми от програмирането за кратко време, така че ако сте напълно начинаещи, ще трябва да отделите повече усилия, за да го завършите успешно. ";190 лв.;15 януари 2020;;12 седмици;;;;
Microsoft Excel Automation - януари 2020;;https://softuni.bg/trainings/2770/microsoft-excel-automation-january-2020;"В курса по Microsoft Excel Automation ще се запознаете с технологията Visual Basic for Application (VBA) и различни похвати за надграждане способностите на Microsoft Excel. В курса ще бъдат показани детайлни примери и разрешения, с които ще можете да извършвате допълнителни функции и действия. С Microsoft Excel Automation ще можете да разгърнете своите способности, използвайки VBA, за да създавате специфични решения и инструменти за вашата организация или бизнес. ";240 лв.;23 януари 2020;;8 седмици;;;;
"HTML &amp; CSS - февруари 2020";;https://softuni.bg/trainings/2784/html-and-css-february-2020;"Целта на курса ""HTML &amp; CSS"" е да положи основни знания поуеб технологии и по-конкретно запознаване с HTML5 и CSS3. Придобиват се начални знания в уеб разработката, уеб браузъри, инструменти за HTML / CSS / DOM разработка и се развиват практически умения за използване на езика за описание на уеб съдържание -HTML -и езика за стилизиране на уеб съдържание -CSS.При изучаването на HTML се обръща внимание на основните HTML тагове, параграфи, списъци, таблици, форми, контроли и таговете за семантичен HTML. Покриват се последните новости на HTML5 стандарта.При изучаването наCSSсе обръща внимание на основните CSS селектори и стилове, работа с класове, презентационни правила, правила за позициониране и изглед (layout) в CSS. Покриват се последните новости на CSS3 стандарта и модерните изисквания за адаптивен дизайн (с media queries и flexbox), и други похвати за стилизиране.Курсът набляга на практически упражнения с HTML и CSS, чрез които ви въвлича в реални проекти за изработка на уеб страници, имплементация на фрагменти от сайтове и създаване на цялостни модерни уеб сайтове с добра визия, съвременна структура и мобилна поддръжка.Оценяването в курса е на базата на предадени домашни и практически изпит. ";290 лв.;05 февруари 2020;;6 седмици;;;;
Windows System Administration Advanced – февруари 2020;;https://softuni.bg/trainings/2783/windows-system-administration-advanced–february-2020;"Основна цел на курса е да подпомогне надграждането на знания и умения за управление на Windows Server базирана инфраструктура в посока изграждане и управление на решения за виртуализация и контейнеризация, съхранение и споделяне на данни, групи от сървъри и устойчиви услуги и др. Това ще бъде постигнато чрез полагане на солидни теоретични основи, допълнени със съответните практически постановки и задачи.По време на занятията ще бъде използван Windows Server 2019, като при нужда и възможност ще бъде правен паралел с предходните версии на системата &ndash; 2016 и 2012 (R2). ";240 лв.;06 февруари 2020;;6 седмици;;;;
